customer_id,address,postcode,state,country,property_valuation,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,AGE
1,060 Morning Avenue,2016,NSW,Australia,10,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11,66
2,6 Meadow Vale Court,2153,NSW,Australia,10,Eli,Bockman,Male,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,N,Yes,16,39
4,0 Holy Cross Court,4211,QLD,Australia,9,Talbot,Dearle,Male,33,1961-10-03,Recruiting Manager,IT,Mass Customer,N,No,7,58
5,17979 Del Mar Point,2448,NSW,Australia,4,Sheila-kathryn,Calton,Female,56,1977-05-13,Senior Editor,IT,Affluent Customer,N,Yes,8,43
6,9 Oakridge Court,3216,VIC,Australia,9,Curr,Duckhouse,Male,35,1966-09-16,Senior Editor,Retail,High Net Worth,N,Yes,13,53
7,4 Delaware Trail,2210,NSW,Australia,9,Fina,Merali,Female,6,1976-02-23,Senior Editor,Financial Services,Affluent Customer,N,Yes,11,44
8,49 Londonderry Lane,2650,NSW,Australia,4,Rod,Inder,Male,31,1962-03-30,Media Manager I,Financial Services,Mass Customer,N,No,7,58
9,97736 7th Trail,2023,NSW,Australia,12,Mala,Lind,Female,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8,47
11,93405 Ludington Park,3044,VIC,Australia,8,Uriah,Bisatt,Male,99,1954-04-30,Senior Quality Engineer,Property,Mass Customer,N,No,9,66
12,44339 Golden Leaf Alley,4557,QLD,Australia,4,Sawyere,Flattman,Male,58,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8,25
13,2 Sutherland Street,3799,VIC,Australia,6,Gabriele,Norcross,Male,38,1955-02-15,Developer I,Financial Services,High Net Worth,N,Yes,8,65
14,9 Mcbride Trail,2760,NSW,Australia,8,Rayshell,Kitteman,Female,85,1983-03-25,Account Executive,Financial Services,Affluent Customer,N,No,6,37
15,9861 New Castle Avenue,2428,NSW,Australia,9,Erroll,Radage,Male,91,2000-07-13,Junior Executive,Manufacturing,Mass Customer,N,No,1,19
16,52 Moland Street,3331,VIC,Australia,4,Harlin,Parr,Male,38,1977-02-27,Media Manager IV,Manufacturing,Mass Customer,N,Yes,18,43
17,82391 Kensington Lane,3058,VIC,Australia,9,Heath,Faraday,Male,57,1962-03-19,Sales Associate,Manufacturing,Affluent Customer,N,Yes,15,58
18,092 2nd Alley,2135,NSW,Australia,12,Marjie,Neasham,Female,79,1967-07-06,Professor,Manufacturing,Affluent Customer,N,No,11,52
19,59 Spaight Circle,2233,NSW,Australia,9,Sorcha,Keyson,Female,76,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,N,No,1,19
20,032 Bartelt Crossing,2444,NSW,Australia,8,Basile,Firth,Male,72,1980-08-13,Project Manager,Manufacturing,Mass Customer,N,No,11,39
21,18 Jenna Center,2650,NSW,Australia,7,Mile,Cammocke,Male,74,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16,39
24,3 Cordelia Plaza,2153,NSW,Australia,10,Kim,Skpsey,Female,55,1977-12-03,Research Assistant I,Argiculture,Mass Customer,N,Yes,15,42
25,28 5th Center,4413,QLD,Australia,3,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21,43
26,52 Carey Alley,4740,QLD,Australia,5,Trixi,Ginnelly,Female,12,1978-06-10,Editor,Financial Services,Mass Customer,N,Yes,16,41
27,96 Texas Plaza,3218,VIC,Australia,7,Garvin,Klees,Male,37,1978-09-25,Research Nurse,Health,Mass Customer,N,Yes,12,41
28,48 Eagan Avenue,4868,QLD,Australia,4,Fee,Zellmer,Male,5,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21,46
29,9 Buell Park,4116,QLD,Australia,7,Mona,Sancraft,Female,62,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,N,No,19,51
30,02663 Buell Parkway,2519,NSW,Australia,11,Darrick,Helleckas,Male,18,1961-10-18,Safety Technician III,IT,Affluent Customer,N,Yes,6,58
31,2294 Pleasure Place,2135,NSW,Australia,12,Star,Praton,Female,3,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14,57
32,2951 Petterle Place,2756,NSW,Australia,9,Marion,Vanichkin,Female,17,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,N,No,4,25
33,63 Lukken Drive,2170,NSW,Australia,9,Ernst,Hacon,Male,44,1957-06-25,Product Engineer,Manufacturing,Affluent Customer,N,Yes,11,62
34,833 Luster Way,4005,QLD,Australia,8,Jephthah,Bachmann,U,59,1843-12-21,Legal Assistant,IT,Affluent Customer,N,No,20,176
35,34 Russell Plaza,4127,QLD,Australia,6,Margaretha,Strettle,Female,40,1963-09-28,Information Systems Manager,Health,High Net Worth,N,Yes,16,56
36,78 Del Sol Hill,2535,NSW,Australia,8,Lurette,Stonnell,Female,33,1977-11-09,VP Quality Control,Health,Affluent Customer,N,No,22,42
37,54 Sage Plaza,4726,QLD,Australia,1,Laurie,Dwerryhouse,Female,46,1985-12-22,Social Worker,Health,High Net Worth,N,No,16,34
38,90 Lawn Parkway,4805,QLD,Australia,4,Cordi,Merman,Female,37,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20,64
39,38726 Ilene Crossing,2212,NSW,Australia,10,Hunfredo,Smalley,Male,5,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,N,No,22,41
40,3496 Brown Drive,2207,NSW,Australia,8,Tomasine,Jerche,Female,91,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14,38
41,7188 Cody Way,3350,VIC,Australia,9,Basilius,Coupe,Male,64,1976-04-14,Food Chemist,Health,Mass Customer,N,No,16,44
42,1 Claremont Park,3931,VIC,Australia,10,Chiquita,Durnall,Female,24,1977-03-28,Accountant III,Manufacturing,Mass Customer,N,No,18,43
43,60 Eagan Circle,4018,QLD,Australia,8,Indira,Belt,Female,38,1983-03-01,Director of Sales,Retail,Mass Customer,N,No,5,37
44,89314 Eagle Crest Center,4670,QLD,Australia,2,Neron,Verick,Male,63,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17,38
45,2028 Lakewood Place,2480,NSW,Australia,3,Trace,Woodhead,Male,64,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8,44
46,70875 Hudson Point,3212,VIC,Australia,6,Kaila,Allin,Female,98,1972-02-26,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,15,48
47,543 Killdeer Park,2322,NSW,Australia,4,Matthew,Jeaycock,Male,51,1992-10-22,Registered Nurse,Health,Affluent Customer,N,No,2,27
48,22125 Ramsey Drive,3198,VIC,Australia,9,Rebbecca,Casone,Female,46,1975-08-15,Biostatistician II,Health,Mass Customer,N,Yes,8,44
49,3107 Calypso Terrace,2210,NSW,Australia,9,Nolly,Ownsworth,Male,63,1994-01-26,VP Quality Control,Health,Affluent Customer,N,No,1,26
50,957 Veith Junction,2047,NSW,Australia,10,Whitby,Schapero,Male,38,1980-10-01,Account Executive,Manufacturing,Mass Customer,N,Yes,16,39
51,4853 Gulseth Avenue,4503,QLD,Australia,5,Fidelio,Dilke,Male,68,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,N,No,18,60
52,9 Michigan Terrace,2145,NSW,Australia,8,Curran,Bentson,Male,57,1988-06-22,Computer Systems Analyst II,Financial Services,Mass Customer,N,Yes,13,31
53,62 Steensland Road,4350,QLD,Australia,3,Agnella,Gocke,Female,22,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,N,No,16,66
54,6 Homewood Avenue,2142,NSW,Australia,8,Loralyn,Wonfor,Female,2,1966-07-24,Sales Associate,Property,Mass Customer,N,Yes,18,53
55,15 Almo Lane,2029,NSW,Australia,10,Linc,Jillions,Male,48,1956-09-24,Paralegal,Financial Services,Affluent Customer,N,Yes,7,63
56,690 Glacier Hill Circle,2127,NSW,Australia,10,Reese,Ensor,Male,44,1996-07-04,VP Sales,Property,Mass Customer,N,Yes,4,23
57,89787 Village Green Terrace,4280,QLD,Australia,6,Abba,Masedon,Male,87,1988-06-13,Chief Design Engineer,Property,Mass Customer,N,Yes,13,31
58,18 Elgar Park,2166,NSW,Australia,9,Dalenna,Pinnock,Female,26,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17,52
59,413 Mayer Street,2046,NSW,Australia,9,Niki,Heathcote,Male,60,2000-02-08,Physical Therapy Assistant,Financial Services,High Net Worth,N,No,3,20
60,39 3rd Drive,2026,NSW,Australia,10,Nadiya,Champerlen,Female,18,1970-02-04,Physical Therapy Assistant,Manufacturing,Mass Customer,N,No,10,50
